# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 06 26 12.0 13.50  3099.50000  3099.56250  1.000    4 1
1940 06 26 15.0 16.50  3099.62500  3099.68750  5.667   67 1
1940 06 26 18.0 19.50  3099.75000  3099.81250  4.333   32 1
1940 06 26 21.0 22.50  3099.87500  3099.93750  3.333   18 1
1940 06 27 00.0 01.50  3100.00000  3100.06250  2.667   12 1
1940 06 27 03.0 04.50  3100.12500  3100.18750  2.333    9 1
1940 06 27 06.0 07.50  3100.25000  3100.31250  1.667    6 1
1940 06 27 09.0 10.50  3100.37500  3100.43750  2.333    9 1
1940 06 27 12.0 13.50  3100.50000  3100.56250  2.333    9 1
1940 06 27 15.0 16.50  3100.62500  3100.68750  2.333    9 1
1940 06 27 18.0 19.50  3100.75000  3100.81250  1.000    4 1
1940 06 27 21.0 22.50  3100.87500  3100.93750  0.667    3 1
1940 06 28 00.0 01.50  3101.00000  3101.06250  2.333    9 1
1940 06 28 03.0 04.50  3101.12500  3101.18750  0.667    3 1
1940 06 28 06.0 07.50  3101.25000  3101.31250  0.333    2 1
1940 06 28 09.0 10.50  3101.37500  3101.43750  1.000    4 1
1940 06 28 12.0 13.50  3101.50000  3101.56250  0.667    3 1
1940 06 28 15.0 16.50  3101.62500  3101.68750  3.000   15 1
1940 06 28 18.0 19.50  3101.75000  3101.81250  2.333    9 1
1940 06 28 21.0 22.50  3101.87500  3101.93750  0.667    3 1
1940 06 29 00.0 01.50  3102.00000  3102.06250  0.333    2 1
1940 06 29 03.0 04.50  3102.12500  3102.18750  1.333    5 1
1940 06 29 06.0 07.50  3102.25000  3102.31250  0.667    3 1
1940 06 29 09.0 10.50  3102.37500  3102.43750  0.333    2 1
1940 06 29 12.0 13.50  3102.50000  3102.56250  1.333    5 1
1940 06 29 15.0 16.50  3102.62500  3102.68750  1.000    4 1
1940 06 29 18.0 19.50  3102.75000  3102.81250  3.000   15 1
1940 06 29 21.0 22.50  3102.87500  3102.93750  1.667    6 1
1940 06 30 00.0 01.50  3103.00000  3103.06250  4.333   32 1
1940 06 30 03.0 04.50  3103.12500  3103.18750  3.667   22 1
1940 06 30 06.0 07.50  3103.25000  3103.31250  0.667    3 1
1940 06 30 09.0 10.50  3103.37500  3103.43750  1.333    5 1
1940 06 30 12.0 13.50  3103.50000  3103.56250  2.000    7 1
1940 06 30 15.0 16.50  3103.62500  3103.68750  2.667   12 1
1940 06 30 18.0 19.50  3103.75000  3103.81250  2.333    9 1
1940 06 30 21.0 22.50  3103.87500  3103.93750  1.667    6 1
1940 07 01 00.0 01.50  3104.00000  3104.06250  3.667   22 1
1940 07 01 03.0 04.50  3104.12500  3104.18750  2.333    9 1
1940 07 01 06.0 07.50  3104.25000  3104.31250  1.000    4 1
1940 07 01 09.0 10.50  3104.37500  3104.43750  0.667    3 1
1940 07 01 12.0 13.50  3104.50000  3104.56250  1.333    5 1
1940 07 01 15.0 16.50  3104.62500  3104.68750  1.000    4 1
1940 07 01 18.0 19.50  3104.75000  3104.81250  2.333    9 1
1940 07 01 21.0 22.50  3104.87500  3104.93750  0.333    2 1
1940 07 02 00.0 01.50  3105.00000  3105.06250  0.667    3 1
1940 07 02 03.0 04.50  3105.12500  3105.18750  0.667    3 1
1940 07 02 06.0 07.50  3105.25000  3105.31250  0.667    3 1
1940 07 02 09.0 10.50  3105.37500  3105.43750  0.667    3 1
1940 07 02 12.0 13.50  3105.50000  3105.56250  0.667    3 1
1940 07 02 15.0 16.50  3105.62500  3105.68750  1.000    4 1
1940 07 02 18.0 19.50  3105.75000  3105.81250  1.333    5 1
1940 07 02 21.0 22.50  3105.87500  3105.93750  1.000    4 1
1940 07 03 00.0 01.50  3106.00000  3106.06250  1.667    6 1
1940 07 03 03.0 04.50  3106.12500  3106.18750  2.000    7 1
1940 07 03 06.0 07.50  3106.25000  3106.31250  2.667   12 1
1940 07 03 09.0 10.50  3106.37500  3106.43750  1.667    6 1
1940 07 03 12.0 13.50  3106.50000  3106.56250  2.667   12 1
1940 07 03 15.0 16.50  3106.62500  3106.68750  2.333    9 1
1940 07 03 18.0 19.50  3106.75000  3106.81250  3.333   18 1
1940 07 03 21.0 22.50  3106.87500  3106.93750  5.000   48 1
1940 07 04 00.0 01.50  3107.00000  3107.06250  4.667   39 1
1940 07 04 03.0 04.50  3107.12500  3107.18750  3.667   22 1
1940 07 04 06.0 07.50  3107.25000  3107.31250  3.667   22 1
1940 07 04 09.0 10.50  3107.37500  3107.43750  3.000   15 1
1940 07 04 12.0 13.50  3107.50000  3107.56250  2.000    7 1
1940 07 04 15.0 16.50  3107.62500  3107.68750  2.667   12 1
1940 07 04 18.0 19.50  3107.75000  3107.81250  3.000   15 1
1940 07 04 21.0 22.50  3107.87500  3107.93750  5.000   48 1
1940 07 05 00.0 01.50  3108.00000  3108.06250  4.000   27 1
1940 07 05 03.0 04.50  3108.12500  3108.18750  2.333    9 1
1940 07 05 06.0 07.50  3108.25000  3108.31250  3.000   15 1
1940 07 05 09.0 10.50  3108.37500  3108.43750  2.000    7 1
1940 07 05 12.0 13.50  3108.50000  3108.56250  3.333   18 1
1940 07 05 15.0 16.50  3108.62500  3108.68750  2.000    7 1
1940 07 05 18.0 19.50  3108.75000  3108.81250  3.667   22 1
1940 07 05 21.0 22.50  3108.87500  3108.93750  3.667   22 1
1940 07 06 00.0 01.50  3109.00000  3109.06250  3.333   18 1
1940 07 06 03.0 04.50  3109.12500  3109.18750  3.000   15 1
1940 07 06 06.0 07.50  3109.25000  3109.31250  2.667   12 1
1940 07 06 09.0 10.50  3109.37500  3109.43750  2.000    7 1
1940 07 06 12.0 13.50  3109.50000  3109.56250  3.333   18 1
1940 07 06 15.0 16.50  3109.62500  3109.68750  2.333    9 1
1940 07 06 18.0 19.50  3109.75000  3109.81250  3.333   18 1
1940 07 06 21.0 22.50  3109.87500  3109.93750  2.333    9 1
1940 07 07 00.0 01.50  3110.00000  3110.06250  1.667    6 1
1940 07 07 03.0 04.50  3110.12500  3110.18750  0.667    3 1
1940 07 07 06.0 07.50  3110.25000  3110.31250  1.333    5 1
1940 07 07 09.0 10.50  3110.37500  3110.43750  1.333    5 1
1940 07 07 12.0 13.50  3110.50000  3110.56250  2.333    9 1
1940 07 07 15.0 16.50  3110.62500  3110.68750  2.000    7 1
1940 07 07 18.0 19.50  3110.75000  3110.81250  2.333    9 1
1940 07 07 21.0 22.50  3110.87500  3110.93750  1.333    5 1
1940 07 08 00.0 01.50  3111.00000  3111.06250  1.333    5 1
1940 07 08 03.0 04.50  3111.12500  3111.18750  1.000    4 1
1940 07 08 06.0 07.50  3111.25000  3111.31250  0.333    2 1
1940 07 08 09.0 10.50  3111.37500  3111.43750  0.333    2 1
1940 07 08 12.0 13.50  3111.50000  3111.56250  1.333    5 1
1940 07 08 15.0 16.50  3111.62500  3111.68750  1.000    4 1
1940 07 08 18.0 19.50  3111.75000  3111.81250  1.000    4 1
1940 07 08 21.0 22.50  3111.87500  3111.93750  3.333   18 1
1940 07 09 00.0 01.50  3112.00000  3112.06250  2.667   12 1
1940 07 09 03.0 04.50  3112.12500  3112.18750  3.333   18 1
1940 07 09 06.0 07.50  3112.25000  3112.31250  2.667   12 1
1940 07 09 09.0 10.50  3112.37500  3112.43750  1.667    6 1
1940 07 09 12.0 13.50  3112.50000  3112.56250  3.000   15 1
1940 07 09 15.0 16.50  3112.62500  3112.68750  2.667   12 1
1940 07 09 18.0 19.50  3112.75000  3112.81250  3.333   18 1
1940 07 09 21.0 22.50  3112.87500  3112.93750  3.333   18 1
1940 07 10 00.0 01.50  3113.00000  3113.06250  4.000   27 1
1940 07 10 03.0 04.50  3113.12500  3113.18750  4.333   32 1
1940 07 10 06.0 07.50  3113.25000  3113.31250  5.000   48 1
1940 07 10 09.0 10.50  3113.37500  3113.43750  4.333   32 1
1940 07 10 12.0 13.50  3113.50000  3113.56250  4.000   27 1
1940 07 10 15.0 16.50  3113.62500  3113.68750  3.333   18 1
1940 07 10 18.0 19.50  3113.75000  3113.81250  2.667   12 1
1940 07 10 21.0 22.50  3113.87500  3113.93750  4.000   27 1
1940 07 11 00.0 01.50  3114.00000  3114.06250  3.000   15 1
1940 07 11 03.0 04.50  3114.12500  3114.18750  3.667   22 1
1940 07 11 06.0 07.50  3114.25000  3114.31250  2.333    9 1
1940 07 11 09.0 10.50  3114.37500  3114.43750  1.667    6 1
1940 07 11 12.0 13.50  3114.50000  3114.56250  1.333    5 1
1940 07 11 15.0 16.50  3114.62500  3114.68750  1.333    5 1
1940 07 11 18.0 19.50  3114.75000  3114.81250  1.667    6 1
1940 07 11 21.0 22.50  3114.87500  3114.93750  2.000    7 1
1940 07 12 00.0 01.50  3115.00000  3115.06250  2.000    7 1
1940 07 12 03.0 04.50  3115.12500  3115.18750  2.333    9 1
1940 07 12 06.0 07.50  3115.25000  3115.31250  1.000    4 1
1940 07 12 09.0 10.50  3115.37500  3115.43750  1.000    4 1
1940 07 12 12.0 13.50  3115.50000  3115.56250  0.667    3 1
1940 07 12 15.0 16.50  3115.62500  3115.68750  0.667    3 1
1940 07 12 18.0 19.50  3115.75000  3115.81250  1.667    6 1
1940 07 12 21.0 22.50  3115.87500  3115.93750  0.667    3 1
1940 07 13 00.0 01.50  3116.00000  3116.06250  1.333    5 1
1940 07 13 03.0 04.50  3116.12500  3116.18750  1.667    6 1
1940 07 13 06.0 07.50  3116.25000  3116.31250  2.667   12 1
1940 07 13 09.0 10.50  3116.37500  3116.43750  6.667  111 1
1940 07 13 12.0 13.50  3116.50000  3116.56250  7.667  179 1
1940 07 13 15.0 16.50  3116.62500  3116.68750  6.000   80 1
1940 07 13 18.0 19.50  3116.75000  3116.81250  4.667   39 1
1940 07 13 21.0 22.50  3116.87500  3116.93750  4.333   32 1
1940 07 14 00.0 01.50  3117.00000  3117.06250  3.333   18 1
1940 07 14 03.0 04.50  3117.12500  3117.18750  4.667   39 1
1940 07 14 06.0 07.50  3117.25000  3117.31250  4.000   27 1
1940 07 14 09.0 10.50  3117.37500  3117.43750  3.667   22 1
1940 07 14 12.0 13.50  3117.50000  3117.56250  3.000   15 1
1940 07 14 15.0 16.50  3117.62500  3117.68750  3.333   18 1
1940 07 14 18.0 19.50  3117.75000  3117.81250  2.333    9 1
1940 07 14 21.0 22.50  3117.87500  3117.93750  3.000   15 1
1940 07 15 00.0 01.50  3118.00000  3118.06250  3.333   18 1
1940 07 15 03.0 04.50  3118.12500  3118.18750  3.333   18 1
1940 07 15 06.0 07.50  3118.25000  3118.31250  2.333    9 1
1940 07 15 09.0 10.50  3118.37500  3118.43750  2.000    7 1
1940 07 15 12.0 13.50  3118.50000  3118.56250  3.333   18 1
1940 07 15 15.0 16.50  3118.62500  3118.68750  3.000   15 1
1940 07 15 18.0 19.50  3118.75000  3118.81250  3.000   15 1
1940 07 15 21.0 22.50  3118.87500  3118.93750  2.333    9 1
1940 07 16 00.0 01.50  3119.00000  3119.06250  2.667   12 1
1940 07 16 03.0 04.50  3119.12500  3119.18750  2.333    9 1
1940 07 16 06.0 07.50  3119.25000  3119.31250  2.000    7 1
1940 07 16 09.0 10.50  3119.37500  3119.43750  2.000    7 1
1940 07 16 12.0 13.50  3119.50000  3119.56250  1.667    6 1
1940 07 16 15.0 16.50  3119.62500  3119.68750  2.333    9 1
1940 07 16 18.0 19.50  3119.75000  3119.81250  1.667    6 1
1940 07 16 21.0 22.50  3119.87500  3119.93750  2.000    7 1
1940 07 17 00.0 01.50  3120.00000  3120.06250  1.667    6 1
1940 07 17 03.0 04.50  3120.12500  3120.18750  1.333    5 1
1940 07 17 06.0 07.50  3120.25000  3120.31250  1.333    5 1
1940 07 17 09.0 10.50  3120.37500  3120.43750  0.667    3 1
1940 07 17 12.0 13.50  3120.50000  3120.56250  1.000    4 1
1940 07 17 15.0 16.50  3120.62500  3120.68750  1.667    6 1
1940 07 17 18.0 19.50  3120.75000  3120.81250  0.333    2 1
1940 07 17 21.0 22.50  3120.87500  3120.93750  0.333    2 1
1940 07 18 00.0 01.50  3121.00000  3121.06250  0.333    2 1
1940 07 18 03.0 04.50  3121.12500  3121.18750  0.667    3 1
1940 07 18 06.0 07.50  3121.25000  3121.31250  0.000    0 1
1940 07 18 09.0 10.50  3121.37500  3121.43750  0.667    3 1
1940 07 18 12.0 13.50  3121.50000  3121.56250  0.333    2 1
1940 07 18 15.0 16.50  3121.62500  3121.68750  0.000    0 1
1940 07 18 18.0 19.50  3121.75000  3121.81250  0.333    2 1
1940 07 18 21.0 22.50  3121.87500  3121.93750  1.333    5 1
1940 07 19 00.0 01.50  3122.00000  3122.06250  1.333    5 1
1940 07 19 03.0 04.50  3122.12500  3122.18750  1.000    4 1
1940 07 19 06.0 07.50  3122.25000  3122.31250  0.333    2 1
1940 07 19 09.0 10.50  3122.37500  3122.43750  0.333    2 1
1940 07 19 12.0 13.50  3122.50000  3122.56250  1.000    4 1
1940 07 19 15.0 16.50  3122.62500  3122.68750  1.000    4 1
1940 07 19 18.0 19.50  3122.75000  3122.81250  1.667    6 1
1940 07 19 21.0 22.50  3122.87500  3122.93750  2.333    9 1
1940 07 20 00.0 01.50  3123.00000  3123.06250  1.000    4 1
1940 07 20 03.0 04.50  3123.12500  3123.18750  1.000    4 1
1940 07 20 06.0 07.50  3123.25000  3123.31250  1.000    4 1
1940 07 20 09.0 10.50  3123.37500  3123.43750  0.333    2 1
1940 07 20 12.0 13.50  3123.50000  3123.56250  0.667    3 1
1940 07 20 15.0 16.50  3123.62500  3123.68750  0.667    3 1
1940 07 20 18.0 19.50  3123.75000  3123.81250  1.667    6 1
1940 07 20 21.0 22.50  3123.87500  3123.93750  2.000    7 1
1940 07 21 00.0 01.50  3124.00000  3124.06250  2.000    7 1
1940 07 21 03.0 04.50  3124.12500  3124.18750  1.000    4 1
1940 07 21 06.0 07.50  3124.25000  3124.31250  1.667    6 1
1940 07 21 09.0 10.50  3124.37500  3124.43750  3.000   15 1
1940 07 21 12.0 13.50  3124.50000  3124.56250  2.000    7 1
1940 07 21 15.0 16.50  3124.62500  3124.68750  2.333    9 1
1940 07 21 18.0 19.50  3124.75000  3124.81250  2.333    9 1
1940 07 21 21.0 22.50  3124.87500  3124.93750  2.667   12 1
1940 07 22 00.0 01.50  3125.00000  3125.06250  1.667    6 1
1940 07 22 03.0 04.50  3125.12500  3125.18750  3.000   15 1
1940 07 22 06.0 07.50  3125.25000  3125.31250  4.667   39 1
1940 07 22 09.0 10.50  3125.37500  3125.43750  2.667   12 1
1940 07 22 12.0 13.50  3125.50000  3125.56250  3.000   15 1
1940 07 22 15.0 16.50  3125.62500  3125.68750  2.667   12 1
1940 07 22 18.0 19.50  3125.75000  3125.81250  2.333    9 1
1940 07 22 21.0 22.50  3125.87500  3125.93750  2.000    7 1
1940 07 23 00.0 01.50  3126.00000  3126.06250  2.333    9 1
1940 07 23 03.0 04.50  3126.12500  3126.18750  1.667    6 1
1940 07 23 06.0 07.50  3126.25000  3126.31250  1.000    4 1
1940 07 23 09.0 10.50  3126.37500  3126.43750  1.000    4 1
1940 07 23 12.0 13.50  3126.50000  3126.56250  2.000    7 1
1940 07 23 15.0 16.50  3126.62500  3126.68750  1.667    6 1
1940 07 23 18.0 19.50  3126.75000  3126.81250  1.333    5 1
1940 07 23 21.0 22.50  3126.87500  3126.93750  2.333    9 1
1940 07 24 00.0 01.50  3127.00000  3127.06250  2.000    7 1
1940 07 24 03.0 04.50  3127.12500  3127.18750  3.333   18 1
1940 07 24 06.0 07.50  3127.25000  3127.31250  2.667   12 1
1940 07 24 09.0 10.50  3127.37500  3127.43750  3.000   15 1
1940 07 24 12.0 13.50  3127.50000  3127.56250  1.667    6 1
1940 07 24 15.0 16.50  3127.62500  3127.68750  2.000    7 1
1940 07 24 18.0 19.50  3127.75000  3127.81250  1.333    5 1
1940 07 24 21.0 22.50  3127.87500  3127.93750  2.667   12 1
1940 07 25 00.0 01.50  3128.00000  3128.06250  2.667   12 1
1940 07 25 03.0 04.50  3128.12500  3128.18750  2.667   12 1
1940 07 25 06.0 07.50  3128.25000  3128.31250  3.000   15 1
1940 07 25 09.0 10.50  3128.37500  3128.43750  2.667   12 1
1940 07 25 12.0 13.50  3128.50000  3128.56250  1.333    5 1
1940 07 25 15.0 16.50  3128.62500  3128.68750  2.000    7 1
1940 07 25 18.0 19.50  3128.75000  3128.81250  1.000    4 1
1940 07 25 21.0 22.50  3128.87500  3128.93750  1.333    5 1
1940 07 26 00.0 01.50  3129.00000  3129.06250  2.667   12 1
1940 07 26 03.0 04.50  3129.12500  3129.18750  2.000    7 1
1940 07 26 06.0 07.50  3129.25000  3129.31250  1.333    5 1
1940 07 26 09.0 10.50  3129.37500  3129.43750  1.000    4 1
1940 07 26 12.0 13.50  3129.50000  3129.56250  1.000    4 1
1940 07 26 15.0 16.50  3129.62500  3129.68750  1.000    4 1
1940 07 26 18.0 19.50  3129.75000  3129.81250  0.333    2 1
1940 07 26 21.0 22.50  3129.87500  3129.93750  0.333    2 1
1940 07 27 00.0 01.50  3130.00000  3130.06250  0.667    3 1
1940 07 27 03.0 04.50  3130.12500  3130.18750  0.667    3 1
1940 07 27 06.0 07.50  3130.25000  3130.31250  0.667    3 1
1940 07 27 09.0 10.50  3130.37500  3130.43750  0.333    2 1
1940 07 27 12.0 13.50  3130.50000  3130.56250  0.667    3 1
1940 07 27 15.0 16.50  3130.62500  3130.68750  1.000    4 1
1940 07 27 18.0 19.50  3130.75000  3130.81250  0.667    3 1
1940 07 27 21.0 22.50  3130.87500  3130.93750  0.667    3 1
1940 07 28 00.0 01.50  3131.00000  3131.06250  1.667    6 1
1940 07 28 03.0 04.50  3131.12500  3131.18750  1.000    4 1
1940 07 28 06.0 07.50  3131.25000  3131.31250  1.333    5 1
1940 07 28 09.0 10.50  3131.37500  3131.43750  2.667   12 1
1940 07 28 12.0 13.50  3131.50000  3131.56250  1.667    6 1
1940 07 28 15.0 16.50  3131.62500  3131.68750  1.000    4 1
1940 07 28 18.0 19.50  3131.75000  3131.81250  0.667    3 1
1940 07 28 21.0 22.50  3131.87500  3131.93750  1.333    5 1
1940 07 29 00.0 01.50  3132.00000  3132.06250  1.000    4 1
1940 07 29 03.0 04.50  3132.12500  3132.18750  2.000    7 1
1940 07 29 06.0 07.50  3132.25000  3132.31250  1.000    4 1
1940 07 29 09.0 10.50  3132.37500  3132.43750  1.000    4 1
1940 07 29 12.0 13.50  3132.50000  3132.56250  1.333    5 1
1940 07 29 15.0 16.50  3132.62500  3132.68750  1.333    5 1
1940 07 29 18.0 19.50  3132.75000  3132.81250  4.000   27 1
1940 07 29 21.0 22.50  3132.87500  3132.93750  3.333   18 1
1940 07 30 00.0 01.50  3133.00000  3133.06250  2.333    9 1
1940 07 30 03.0 04.50  3133.12500  3133.18750  3.333   18 1
1940 07 30 06.0 07.50  3133.25000  3133.31250  2.333    9 1
1940 07 30 09.0 10.50  3133.37500  3133.43750  2.667   12 1
1940 07 30 12.0 13.50  3133.50000  3133.56250  3.667   22 1
1940 07 30 15.0 16.50  3133.62500  3133.68750  3.667   22 1
1940 07 30 18.0 19.50  3133.75000  3133.81250  4.667   39 1
1940 07 30 21.0 22.50  3133.87500  3133.93750  3.000   15 1
1940 07 31 00.0 01.50  3134.00000  3134.06250  3.667   22 1
1940 07 31 03.0 04.50  3134.12500  3134.18750  3.333   18 1
1940 07 31 06.0 07.50  3134.25000  3134.31250  3.333   18 1
1940 07 31 09.0 10.50  3134.37500  3134.43750  3.333   18 1
1940 07 31 12.0 13.50  3134.50000  3134.56250  2.667   12 1
1940 07 31 15.0 16.50  3134.62500  3134.68750  2.333    9 1
1940 07 31 18.0 19.50  3134.75000  3134.81250  3.333   18 1
1940 07 31 21.0 22.50  3134.87500  3134.93750  2.667   12 1
1940 08 01 00.0 01.50  3135.00000  3135.06250  4.333   32 1
1940 08 01 03.0 04.50  3135.12500  3135.18750  2.667   12 1
1940 08 01 06.0 07.50  3135.25000  3135.31250  0.667    3 1
1940 08 01 09.0 10.50  3135.37500  3135.43750  1.333    5 1
1940 08 01 12.0 13.50  3135.50000  3135.56250  1.000    4 1
1940 08 01 15.0 16.50  3135.62500  3135.68750  1.667    6 1
1940 08 01 18.0 19.50  3135.75000  3135.81250  2.000    7 1
1940 08 01 21.0 22.50  3135.87500  3135.93750  3.000   15 1
1940 08 02 00.0 01.50  3136.00000  3136.06250  1.000    4 1
1940 08 02 03.0 04.50  3136.12500  3136.18750  0.667    3 1
1940 08 02 06.0 07.50  3136.25000  3136.31250  1.333    5 1
1940 08 02 09.0 10.50  3136.37500  3136.43750  1.667    6 1
1940 08 02 12.0 13.50  3136.50000  3136.56250  1.333    5 1
1940 08 02 15.0 16.50  3136.62500  3136.68750  2.000    7 1
1940 08 02 18.0 19.50  3136.75000  3136.81250  5.333   56 1
1940 08 02 21.0 22.50  3136.87500  3136.93750  2.000    7 1
1940 08 03 00.0 01.50  3137.00000  3137.06250  2.000    7 1
1940 08 03 03.0 04.50  3137.12500  3137.18750  3.333   18 1
1940 08 03 06.0 07.50  3137.25000  3137.31250  4.333   32 1
1940 08 03 09.0 10.50  3137.37500  3137.43750  4.333   32 1
1940 08 03 12.0 13.50  3137.50000  3137.56250  6.333   94 1
1940 08 03 15.0 16.50  3137.62500  3137.68750  5.667   67 1
1940 08 03 18.0 19.50  3137.75000  3137.81250  3.667   22 1
1940 08 03 21.0 22.50  3137.87500  3137.93750  2.333    9 1
1940 08 04 00.0 01.50  3138.00000  3138.06250  3.333   18 1
1940 08 04 03.0 04.50  3138.12500  3138.18750  2.000    7 1
1940 08 04 06.0 07.50  3138.25000  3138.31250  3.000   15 1
1940 08 04 09.0 10.50  3138.37500  3138.43750  2.333    9 1
1940 08 04 12.0 13.50  3138.50000  3138.56250  0.667    3 1
1940 08 04 15.0 16.50  3138.62500  3138.68750  1.333    5 1
1940 08 04 18.0 19.50  3138.75000  3138.81250  2.000    7 1
1940 08 04 21.0 22.50  3138.87500  3138.93750  1.333    5 1
1940 08 05 00.0 01.50  3139.00000  3139.06250  2.000    7 1
1940 08 05 03.0 04.50  3139.12500  3139.18750  2.667   12 1
1940 08 05 06.0 07.50  3139.25000  3139.31250  1.000    4 1
1940 08 05 09.0 10.50  3139.37500  3139.43750  3.000   15 1
1940 08 05 12.0 13.50  3139.50000  3139.56250  3.000   15 1
1940 08 05 15.0 16.50  3139.62500  3139.68750  2.333    9 1
1940 08 05 18.0 19.50  3139.75000  3139.81250  2.333    9 1
1940 08 05 21.0 22.50  3139.87500  3139.93750  3.333   18 1
1940 08 06 00.0 01.50  3140.00000  3140.06250  3.000   15 1
1940 08 06 03.0 04.50  3140.12500  3140.18750  2.667   12 1
1940 08 06 06.0 07.50  3140.25000  3140.31250  3.333   18 1
1940 08 06 09.0 10.50  3140.37500  3140.43750  3.000   15 1
1940 08 06 12.0 13.50  3140.50000  3140.56250  2.667   12 1
1940 08 06 15.0 16.50  3140.62500  3140.68750  3.000   15 1
1940 08 06 18.0 19.50  3140.75000  3140.81250  3.667   22 1
1940 08 06 21.0 22.50  3140.87500  3140.93750  4.000   27 1
1940 08 07 00.0 01.50  3141.00000  3141.06250  2.333    9 1
1940 08 07 03.0 04.50  3141.12500  3141.18750  1.333    5 1
1940 08 07 06.0 07.50  3141.25000  3141.31250  2.333    9 1
1940 08 07 09.0 10.50  3141.37500  3141.43750  3.333   18 1
1940 08 07 12.0 13.50  3141.50000  3141.56250  3.000   15 1
1940 08 07 15.0 16.50  3141.62500  3141.68750  4.000   27 1
1940 08 07 18.0 19.50  3141.75000  3141.81250  3.667   22 1
1940 08 07 21.0 22.50  3141.87500  3141.93750  1.000    4 1
1940 08 08 00.0 01.50  3142.00000  3142.06250  3.000   15 1
1940 08 08 03.0 04.50  3142.12500  3142.18750  2.333    9 1
1940 08 08 06.0 07.50  3142.25000  3142.31250  3.333   18 1
1940 08 08 09.0 10.50  3142.37500  3142.43750  3.000   15 1
1940 08 08 12.0 13.50  3142.50000  3142.56250  2.333    9 1
1940 08 08 15.0 16.50  3142.62500  3142.68750  1.333    5 1
1940 08 08 18.0 19.50  3142.75000  3142.81250  0.667    3 1
1940 08 08 21.0 22.50  3142.87500  3142.93750  2.000    7 1
1940 08 09 00.0 01.50  3143.00000  3143.06250  2.000    7 1
1940 08 09 03.0 04.50  3143.12500  3143.18750  3.000   15 1
1940 08 09 06.0 07.50  3143.25000  3143.31250  4.333   32 1
1940 08 09 09.0 10.50  3143.37500  3143.43750  5.333   56 1
1940 08 09 12.0 13.50  3143.50000  3143.56250  4.667   39 1
1940 08 09 15.0 16.50  3143.62500  3143.68750  4.333   32 1
1940 08 09 18.0 19.50  3143.75000  3143.81250  6.333   94 1
1940 08 09 21.0 22.50  3143.87500  3143.93750  4.000   27 1
1940 08 10 00.0 01.50  3144.00000  3144.06250  2.000    7 1
1940 08 10 03.0 04.50  3144.12500  3144.18750  1.000    4 1
1940 08 10 06.0 07.50  3144.25000  3144.31250  2.333    9 1
1940 08 10 09.0 10.50  3144.37500  3144.43750  2.667   12 1
1940 08 10 12.0 13.50  3144.50000  3144.56250  2.333    9 1
1940 08 10 15.0 16.50  3144.62500  3144.68750  3.000   15 1
1940 08 10 18.0 19.50  3144.75000  3144.81250  1.333    5 1
1940 08 10 21.0 22.50  3144.87500  3144.93750  1.000    4 1
1940 08 11 00.0 01.50  3145.00000  3145.06250  3.000   15 1
1940 08 11 03.0 04.50  3145.12500  3145.18750  2.667   12 1
1940 08 11 06.0 07.50  3145.25000  3145.31250  3.000   15 1
1940 08 11 09.0 10.50  3145.37500  3145.43750  3.333   18 1
1940 08 11 12.0 13.50  3145.50000  3145.56250  3.000   15 1
1940 08 11 15.0 16.50  3145.62500  3145.68750  3.333   18 1
1940 08 11 18.0 19.50  3145.75000  3145.81250  3.667   22 1
1940 08 11 21.0 22.50  3145.87500  3145.93750  3.333   18 1
1940 08 12 00.0 01.50  3146.00000  3146.06250  2.333    9 1
1940 08 12 03.0 04.50  3146.12500  3146.18750  3.333   18 1
